link,title,state
https://8columnas.com.mx/estado-de-mexico/dan-prision-preventiva-a-influencer-que-golpeo-a-una-mujer-en-naucalpan/,Dan prisión preventiva a influencer que golpeó a una mujer en Naucalpan,edo
https://8columnas.com.mx/estado-de-mexico/se-publica-la-guia-para-atender-la-violencia-politica-contra-las-mujeres/,Se publica la guía para atender la violencia política contra las mujeres,edo
https://8columnas.com.mx/estado-de-mexico/rinde-protesta-como-presidente-de-almoloya-de-juarez-adolfo-solis/,"Rinde protesta como presidente de Almoloya de Juárez, Adolfo Solís",edo
https://8columnas.com.mx/estado-de-mexico/se-mantiene-en-edomex-tendencia-a-la-baja-en-homicidio-doloso/,Se mantiene en Edoméx tendencia a la baja en homicidio doloso,edo
https://8columnas.com.mx/internacional/petro-vendera-residencia-embajador-mexico-mejorar-servicios-consulares/,Petro venderá la residencia del embajador en México para mejorar servicios consulares,edo
https://8columnas.com.mx/internacional/tiktok-enfrenta-investigacion-de-la-ue-por-presunta-interferencia-en-elecciones-presidenciales-de-rumania/,TikTok enfrenta investigación de la UE por presunta interferencia en elecciones presidenciales de Rumanía,edo
https://8columnas.com.mx/estado-de-mexico/codhem-capacita-a-mujeres-trans-sobre-transfeminismo/,CODHEM capacita a mujeres trans sobre transfeminismo,edo
https://8columnas.com.mx/estado-de-mexico/secretaria-de-las-mujeres-estara-disponible-durante-vacaciones/,Secretaría de las Mujeres estará disponible durante vacaciones,edo
https://8columnas.com.mx/estado-de-mexico/gobierno-de-ixtlahuaca-acerca-servicios-de-salud-para-la-mujer/,Gobierno de Ixtlahuaca acerca servicios de salud para la mujer,edo
https://8columnas.com.mx/estado-de-mexico/mujeres-autosuficientes-evitan-ser-maltratadas-pj/,"Mujeres autosuficientes, evitan ser maltratadas: PJ",edo
https://8columnas.com.mx/estado-de-mexico/conmemoran-en-tlalnepantla-el-dia-internacional-de-la-mujer/,Conmemoran en Tlalnepantla el Día Internacional de la Mujer,edo
https://8columnas.com.mx/estado-de-mexico/tragedia-fallece-mujer-sobre-la-via-mexico-toluca/,Tragedia; fallece mujer sobre la vía México-Toluca,edo
https://8columnas.com.mx/estado-de-mexico/en-el-edomex-mexico-las-mujeres-no-estan-solas/,"En el Edoméx México, ¡las mujeres no están solas!",edo
https://8columnas.com.mx/estado-de-mexico/fomentan-la-participacion-y-reconocimiento-de-mujeres-en-tlalnepantla/,Fomentan la participación y reconocimiento de Mujeres en Tlalnepantla»,edo
https://8columnas.com.mx/estado-de-mexico/biker-y-mujer-salen-heridos-en-accidente-en-atlacomulco/,Biker y mujer salen heridos en accidente en Atlacomulco,edo
https://8columnas.com.mx/estado-de-mexico/marzo-ofrece-uaemex-paquetes-de-atencion-medica-para-salvaguardar-la-salud-de-las-mujeres/,Marzo: ofrece UAEMéx paquetes de atención médica para salvaguardar la salud de las mujeres,edo
https://8columnas.com.mx/estado-de-mexico/rinde-protesta-como-presidente-de-almoloya-de-juarez-adolfo-solis/,"Rinde protesta como presidente de Almoloya de Juárez, Adolfo Solís",edo
https://8columnas.com.mx/estado-de-mexico/se-mantiene-en-edomex-tendencia-a-la-baja-en-homicidio-doloso/,Se mantiene en Edoméx tendencia a la baja en homicidio doloso,edo
https://8columnas.com.mx/internacional/petro-vendera-residencia-embajador-mexico-mejorar-servicios-consulares/,Petro venderá la residencia del embajador en México para mejorar servicios consulares,edo
