title,link,keyword,state
Formulan imputación a detenidas por feminicidio en la colonia ...,https://laopcion.com.mx/juarez/formulan-imputacion-a-detenidas-por-feminicidio-en-la-colonia-cuauhtemoc-20230523-427703.html,feminicidio,chih
Detiene a sujeto por feminicidio cometido en Ahumada,https://laopcion.com.mx/juarez/detiene-a-sujeto-por-feminicidio-cometido-en-ahumada-20230801-434661.html,feminicidio,chih
Pide Estado mexicano disculpas a víctimas de feminicidio,https://laopcion.com.mx/juarez/pide-estado-mexicano-disculpas-a-victimas-de-feminicidio-20240306-456908.html,feminicidio,chih
Claman justicia por feminicidio de ministerial,https://laopcion.com.mx/delicias/claman-justicia-por-feminicidio-de-ministerial-20200514-269573.html,feminicidio,chih
Enfrentará proceso penal por feminicidio y asalto,https://laopcion.com.mx/juarez/enfrentara-proceso-penal-por-feminicidio-y-asalto-20241002-474306.html,feminicidio,chih
Pasará 41 años en la cárcel por el feminicidio de una psicóloga,https://laopcion.com.mx/juarez/pasara-41-anos-en-la-carcel-por-el-feminicidio-de-una-psicologa-20230302-418939.html,feminicidio,chih
Lo procesan por feminicidio y tentativa de homicidio,https://www.laopcion.com.mx/juarez/lo-procesan-por-feminicidio-y-tentativa-de-homicidio-20210724-342625.html,feminicidio,chih
A punto de presentarse tipificación de feminicidio,https://laopcion.com.mx/local/a-punto-de-presentarse-tipificacion-de-feminicidio-20170608-177244.html,feminicidio,chih
La vinculan a proceso por presuntamente cometer feminicidio y asalto,https://laopcion.com.mx/juarez/la-vinculan-a-proceso-por-presuntamente-cometer-feminicidio-y-asalto-20241004-474488.html,feminicidio,chih
Sentencian a más de 36 años a pareja por feminicidio e intento de ...,https://laopcion.com.mx/juarez/sentencian-a-mas-de-36-anos-a-pareja-por-feminicidio-e-intento-de-asesinato-20241018-475649.html,feminicidio,chih
Le inician juicio por feminicidio en grado de tentativa contra su ex ...,https://laopcion.com.mx/juarez/le-inician-juicio-por-feminicidio-en-grado-de-tentativa-contra-su-ex-pareja-20230822-436936.html,feminicidio,chih
Lo sentencian por tentativa de feminicidio contra una mujer de 17 ...,https://laopcion.com.mx/juarez/lo-sentencian-por-tentativa-de-feminicidio-contra-una-mujer-de-17-anos-20240322-458456.html,feminicidio,chih
Investigan feminicidio de activista que fue quemada viva en jalisco,https://laopcion.com.mx/nacional/investigan-feminicidio-de-activista-que-fue-quemada-viva-en-jalisco-20220721-394097.html,feminicidio,chih
Formulan imputación a detenida por feminicidio,https://laopcion.com.mx/juarez/formulan-imputacion-a-detenida-por-feminicidio-20230522-427624.html,feminicidio,chih
Vinculan a proceso a hombre por tentativa de feminicidio,https://laopcion.com.mx/juarez/vinculan-a-proceso-a-hombre-por-tentativa-de-feminicidio-20230803-434860.html,feminicidio,chih
Buscan sancionar a funcionarios que impidan investigaciones de ...,https://laopcion.com.mx/local/buscan-sancionar-a-funcionarios-que-impidan-investigaciones-de-feminicidio-20170524-175890.html,feminicidio,chih
Lo vinculan a proceso por el intento de feminicidio de una menor,https://www.laopcion.com.mx/juarez/lo-vinculan-a-proceso-por-el-intento-de-feminicidio-de-una-menor-20211229-367184.html,feminicidio,chih
Lo sentencian a 9 años de cárcel por tentativa de feminicidio,https://laopcion.com.mx/juarez/lo-sentencian-a-9-anos-de-carcel-por-tentativa-de-feminicidio-20230906-438804.html,feminicidio,chih
